,DEPT,TDEP,BS,CALI,TENS,TEM2,NPHI,NDSN,FDSN,NRAT,NLIM,NPHS,NPHD,GR,DCAL,BHV,AHV,BHVT,AHVT,RHOB,DRHO,PE,DPHI,DLIM,DPHD,DPHS,CS,MINM,RT90,RT60,RT30,RT20,RT10,NHI,NLO,NBA,NDE,NPK,NLI,FHI,FLO,FBA,FDE,FPK,FLI,DT,TTI,VP,VS,RHO_MIN,VP/VS,AI,COR_RHO,clusters,LIT,IGR,VSH
344,5076.5964,5076.5964,12.25,11.7689,7330.3651,-23.0529,9.8416,16645.5526,2259.5892,7.2161,9.8416,13.9515,8.4156,16.414,-0.4811,0.0053,0.0018,3.7975,1.3366,2.5794,-0.0357,4.1117,0.042773000000000005,7.636,15.5388,4.2773,4.0,0.0,617.0967,626.699,650.9585,712.5074,815.8979,140.7563,146.0532,9159.5334,5609.6734,3466.0978,3372.875,89.2885,97.0767,2833.4808,2373.3546,1381.363,896.2298,59.7151,7.8303,5104.2366168691005,2873.3572,2.8609647021242615,1.776401714489864,1978.8464824645655,2.5437000000000003,0,0,0.23701733975957015,0.12836621288208802
345,5076.444,5076.444,12.25,11.7666,7227.6637,-23.0529,9.673,16721.692,2416.9788,7.1472,9.673,13.7657,8.2518,16.8836,-0.4834,0.0053,0.0018,3.8057,1.3393,2.5724,-0.04,4.4558,0.047054,8.0491,15.9166,4.7054,4.056,0.0,610.7502,621.7691,647.5026,711.2392,815.5866,143.5922,150.1415,9405.9205,5776.2246,3383.8286,3225.8466,92.5953,83.262,3174.1161,2703.6584,1433.0983,910.4558,59.9697,7.8603,5082.566696181571,2862.6765,2.8478749432617048,1.775459669266754,1975.8072990909545,2.5324,0,0,0.24742341144534932,0.13502647272406565
346,5076.2916,5076.2916,12.25,11.7677,7273.4333,-23.0529,10.6973,16241.6594,2246.4449,7.5631,10.6973,14.8916,9.2459,17.2663,-0.4823,0.0053,0.0018,3.8192,1.3438,2.5455,-0.0422,5.1876,0.06332499999999999,9.6191,17.3522,6.3325,3.9084,0.0,611.3811,624.2518,651.8318,718.0889,821.1894,145.3987,152.5998,9458.1294,5880.3911,3326.2749,3039.9303,94.5363,82.6372,3729.1261,3152.3508,1660.3532,1065.1254,60.598,7.8905,5029.868972573352,2836.7043,2.8504177365298027,1.7731382476260895,1975.9846680704584,2.5033000000000003,0,0,0.25590382804276773,0.1405257508119687
347,5076.1392,5076.1392,12.25,11.7648,7364.9875,-23.0529,11.6899,16048.5063,2118.5433,7.9611,11.6899,15.9751,10.2064,17.1657,-0.4852,0.0053,0.0018,3.8273,1.3465,2.5219,-0.043,5.4713,0.077634,10.9997,18.6147,7.7634,4.0,0.0,615.8236,629.5723,657.9883,725.1298,826.2576,139.3873,145.2774,9457.9511,5758.1699,3375.8043,3041.3762,80.3048,86.318,3398.9906,2917.2425,1520.8526,934.4446,60.9421,7.921,5001.468607087711,2822.7073,2.8557322435372625,1.7718693860650407,1983.2144839556329,2.4789,0,0,0.25367458866544795,0.13907389106739165
348,5075.9868,5075.9868,12.25,11.7667,7282.5797,-23.0529,12.0266,16094.2615,2062.6272,8.0954,12.0266,16.3411,10.5316,17.4226,-0.4833,0.0053,0.0018,3.8408,1.3509,2.5071,-0.0339,5.6707,0.086617,11.8666,19.4074,8.6617,4.0,0.0,623.772,638.7292,668.3238,736.2962,833.8258,139.527,151.5328,9495.7865,5721.5631,3299.328,2967.7965,87.9538,83.6186,3526.0498,2966.3746,1580.582,989.0332,60.8634,7.9515,5007.935803783555,2825.8953,2.849838701243785,1.7721590280300792,1997.5014174877567,2.4732,0,0,0.259367348069359,0.14279039301711197
349,5075.8344,5075.8344,12.25,11.7691,7226.0859,-23.0529,11.5153,16207.4411,2164.572,7.8926,11.5153,15.7851,10.0377,17.3024,-0.4809,0.0053,0.0018,3.849,1.3536,2.512,-0.0267,5.59,0.083652,11.5804,19.1457,8.3652,4.0,0.0,627.4687,643.0542,673.3493,741.6726,837.3744,139.0244,153.593,9544.5489,5773.086,3271.5182,2942.9167,85.54,79.4772,3553.7446,2929.7673,1613.2119,950.1124,60.678,7.9819,5023.237417185801,2833.4368,2.838908873511466,1.7728426039587974,1999.6964240389334,2.4853,0,0,0.2567037837238934,0.14104784109820737
350,5075.682,5075.682,12.25,11.7817,7247.2852,-23.0529,11.3939,15959.6874,2162.1001,7.8462,11.3939,15.6529,9.9203,16.371,-0.4683,0.0054,0.0018,3.8625,1.3581,2.5187,-0.0224,5.1742,0.079604,11.1898,18.7886,7.9604,3.964,0.0,631.5343,648.0744,679.6439,748.6687,842.2378,138.2727,142.7162,9575.338,5781.4769,3275.6786,2932.3714,90.2311,81.5165,3692.0311,3000.7936,1601.4088,958.504,60.3253,8.0121,5052.606452019302,2847.9119,2.842580815542045,1.7741442471231417,2006.0374208993935,2.4962999999999997,0,0,0.23606448396210736,0.12776113897058536
351,5075.5296,5075.5296,12.25,11.7868,7327.1703,-23.0529,10.9387,16146.933,2197.3862,7.665,10.9387,15.1555,9.4796,16.0598,-0.4632,0.0054,0.0018,3.8706,1.3608,2.532,-0.0205,4.8348,0.071489,10.4068,18.0725,7.1489,3.9408,0.0,633.3325,650.3869,682.7612,752.2997,845.0546,141.4418,140.4273,9558.4963,5872.6402,3327.1265,2977.7893,89.537,97.34,3765.2229,3225.729,1654.324,1013.6431,59.6882,8.0421,5106.536970456472,2874.4924,2.842985673912238,1.7765004055139921,2016.7997513651153,2.5115,0,0,0.2291684671209351,0.12340583534240446
352,5075.3772,5075.3772,12.25,11.7945,7323.0441,-23.0529,9.8565,16038.6594,2387.8657,7.2274,9.8565,13.9672,8.4298,15.2338,-0.4555,0.0054,0.0018,3.8801,1.364,2.5625,-0.0183,4.4817,0.05303,8.6257,16.4439,5.303,4.0456,0.0,635.9722,653.4976,686.6751,756.7172,848.7327,145.0087,145.0459,9456.4152,5827.6927,3310.2401,2925.5749,88.3054,90.9739,3765.8568,3095.4273,1587.773,928.8009,59.0101,8.0717,5165.217479719573,2897.0176,2.842689711404594,1.7829430924829222,2015.6946262320284,2.5442,0,0,0.21086477203479034,0.11204571259524682
353,5075.2248,5075.2248,12.25,11.7935,7260.8301,-23.0529,8.6811,16648.4457,2619.2518,6.7444,8.6811,12.6673,7.286,13.8392,-0.4565,0.0054,0.0018,3.8924,1.3681,2.5994,-0.0199,4.2212,0.030666000000000002,6.4678,14.4705,3.0666,4.1248,0.0,641.6968,659.5768,693.4169,763.7044,854.6458,145.2325,153.1901,9400.7226,5702.9575,3215.0051,2768.8165,84.219,83.3886,3611.3088,3021.9611,1562.8601,962.3444,58.2852,8.1009,5229.457906981532,2911.224,2.8465082255699534,1.7963089372235685,2011.7942244293035,2.5795000000000003,0,0,0.17996122098498699,0.09350777817413324
354,5075.0724,5075.0724,12.25,11.7864,7257.735,-23.0529,7.702,17002.8222,2885.1984,6.3333,7.702,11.5747,6.3295,14.7046,-0.4636,0.0054,0.0018,3.902,1.3713,2.6169,-0.0214,4.1956,0.020057000000000002,5.4441,13.5344,2.0057,4.1,0.0,650.8068,668.5304,702.1457,771.7147,861.1448,137.0879,150.6769,9441.1217,5735.9662,3133.349,2753.411,101.7686,84.6899,3748.0786,3081.5423,1582.9298,914.0652,57.4962,8.1297,5301.219906706878,2923.3174,2.835272703633881,1.8134260542064773,2025.7632720802776,2.5955,0,0,0.19913799789485345,0.10491757832752326
355,5074.92,5074.92,12.25,11.7671,7376.5832,-23.0529,6.7298,17418.6666,3016.6667,5.9199,6.7298,10.4833,5.3773,16.1098,-0.4829,0.0053,0.0018,3.9141,1.3753,2.6435,-0.0226,4.0611,0.003944,3.8893,12.1127,0.3944,4.02,0.0,668.4364,685.4002,717.7575,785.1705,871.6158,144.2532,147.6818,9475.7854,5735.7336,3108.9093,2810.539,93.5953,87.2144,3741.8568,3089.7622,1584.8806,964.6424,57.1021,8.1583,5337.807190978966,2929.4827,2.834238588530956,1.8220989162700496,2019.2196674783302,2.6209,0,0,0.23027643897844996,0.12410279054898667
